ano,muni_id,muni_nm,uf_sigla,regiao_nm,idhm,idhm_e,idhm_l,idhm_r,espvida,rdpc,gini,pop,lat,lon
2010,3534401,OSASCO,SP,Sudeste,0.776,0.718,0.84,0.776,75.42,1003.4,0.53,664836,-23.533,-46.792
2010,3534500,OSCAR BRESSANE,SP,Sudeste,0.749,0.715,0.823,0.713,74.36,675.35,0.45,2528,-22.318,-50.281
2010,3534609,OSVALDO CRUZ,SP,Sudeste,0.762,0.713,0.837,0.74,75.22,797.55,0.46,29646,-21.797,-50.89
2010,3534708,OURINHOS,SP,Sudeste,0.778,0.727,0.859,0.753,76.53,868.91,0.5,102690,-22.979,-49.871
2010,3534757,OUROESTE,SP,Sudeste,0.77,0.736,0.866,0.717,76.93,694.33,0.43,8332,-20.001,-50.372
2010,3534807,OURO VERDE,SP,Sudeste,0.692,0.612,0.814,0.666,73.81,504.63,0.39,7789,-21.489,-51.7
2010,3534906,PACAEMBU,SP,Sudeste,0.725,0.631,0.843,0.717,75.6,694.16,0.45,10857,-21.562,-51.261
2010,3535002,PALESTINA,SP,Sudeste,0.732,0.645,0.848,0.717,75.88,692.43,0.4,11023,-20.39,-49.433
2010,3535101,PALMARES PAULISTA,SP,Sudeste,0.722,0.645,0.837,0.698,75.21,615.01,0.34,10922,-21.083,-48.801
2010,3535200,PALMEIRA D'OESTE,SP,Sudeste,0.753,0.714,0.829,0.72,74.76,707.38,0.42,9536,-20.416,-50.762
2010,3535309,PALMITAL,SP,Sudeste,0.746,0.702,0.814,0.727,73.83,739.37,0.44,21011,-22.789,-50.218
2010,3535408,PANORAMA,SP,Sudeste,0.722,0.639,0.814,0.724,73.81,722.51,0.51,14525,-21.356,-51.86
2010,3535507,PARAGUAÇU PAULISTA,SP,Sudeste,0.762,0.739,0.836,0.717,75.18,694.42,0.45,40879,-22.413,-50.576
2010,3535606,PARAIBUNA,SP,Sudeste,0.719,0.642,0.815,0.709,73.91,657.59,0.51,17136,-23.386,-45.662
2010,3535705,PARAÍSO,SP,Sudeste,0.749,0.668,0.837,0.751,75.19,855.28,0.45,5891,-21.016,-48.774
2010,3535804,PARANAPANEMA,SP,Sudeste,0.717,0.631,0.839,0.697,75.31,613.31,0.47,17673,-23.389,-48.723
2010,3535903,PARANAPUÃ,SP,Sudeste,0.732,0.655,0.842,0.712,75.52,670.18,0.45,3799,-20.103,-50.586
2010,3536000,PARAPUÃ,SP,Sudeste,0.737,0.696,0.83,0.693,74.78,597.44,0.42,10793,-21.783,-50.793
2010,3536109,PARDINHO,SP,Sudeste,0.727,0.652,0.821,0.718,74.23,696.71,0.46,5544,-23.081,-48.374
2010,3536208,PARIQUERA-AÇU,SP,Sudeste,0.736,0.678,0.862,0.682,76.7,557.69,0.47,18311,-24.715,-47.881
2010,3536257,PARISI,SP,Sudeste,0.721,0.619,0.842,0.72,75.5,705.62,0.4,2032,-20.304,-50.015
